CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;h;Resultado Básico por Ação;0.11700000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;i;Resultado Diluído por Ação;0.12000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;a;Patrimônio Líquido;706433356.10000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;b;Ativo Total;2728303245.47000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;1179186384.01000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;d;Resultado Bruto;277120542.96000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;e;Resultado Líquido;108363119.48000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;f;Número de Ações, Ex-Tesouraria;458277128.00000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;g;Valor Patrimonial da Ação (Reais Unidade);1.54149817;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;h;Resultado Básico por Ação;0.23645762;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;i;Resultado Diluído por Ação;0.23645762;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;a;Patrimônio Líquido;905599281.60000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;b;Ativo Total;3075295493.83000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;1663789052.87000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;d;Resultado Bruto;495276642.42000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;e;Resultado Líquido;264962555.73000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;f;Número de Ações, Ex-Tesouraria;458277128.00000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;g;Valor Patrimonial da Ação (Reais Unidade);1.97609531;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;h;Resultado Básico por Ação;0.57817102;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;i;Resultado Diluído por Ação;0.57817102;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;a;Patrimônio Líquido;1128165917.32000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;b;Ativo Total;3862740097.42000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2622623331.13000000;Consolidado;Real;Unidade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;d;Resultado Bruto;958297614.58000000;Consolidado;Real;Unidade
