CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742571;2022-03-31;18.91549700;0.00000000;1000000.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742571;2021-03-31;23.57369100;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742571;2020-03-31;3.70574600;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742572;2023-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742572;2022-03-31;60.54121100;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742572;2021-03-31;-4.86579600;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742572;2020-03-31;-4.40756900;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742573;2023-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742573;2022-03-31;-27.21670900;0.00000000;70188912.20
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742573;2021-03-31;0.48549900;0.00000000;76156220.70
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742573;2020-03-31;9.59984200;0.00000000;44173860.97
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742574;2023-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742574;2022-03-31;316.00757600;0.00000000;24677800.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742574;2021-03-31;3.99341200;0.00000000;12500000.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742574;2020-03-31;7.54529400;0.00000000;10870000.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737507;2023-02-28;0.00000000;0.00000000;0.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737507;2022-02-28;0.00000000;0.00000000;0.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737507;2021-02-28;0.00000000;0.00000000;0.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737507;2020-02-29;0.00000000;0.00000000;0.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737508;2023-02-28;0.00000000;0.00000000;0.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737508;2022-02-28;0.00000000;0.00000000;0.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737508;2021-02-28;0.00000000;0.00000000;83562000.00
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;737508;2020-02-29;0.00000000;0.00000000;0.00
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;742962;2023-06-30;0.00000000;0.00000000;0.00
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;742962;2022-06-30;0.00000000;0.00000000;0.00
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;742962;2021-06-30;0.00000000;0.00000000;0.00
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;742962;2020-12-31;0.00000000;0.00000000;0.00
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;758891;2023-06-30;0.00000000;0.00000000;0.00
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;758891;2022-06-30;0.00000000;0.00000000;10624317.21
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;758891;2021-06-30;14.63381300;0.00000000;12138141.60
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;758891;2020-06-30;35.14809300;0.00000000;25219655.00
